07-09-2023,13:30,1,1,1,1,1,1,1,1
07-09-2023,13:00,1,1,1,1,1,1,1,1
07-09-2023,11:30,1,1,0,0,1,1,1,0
07-09-2023,11:00,1,1,1,0,1,1,1,0
07-09-2023,10:00,1,1,1,0,1,0,0,0
07-09-2023,09:00,1,1,1,1,1,1,1,1
07-09-2023,08:55,1,1,1,1,1,1,1,1
07-09-2023,08:50,1,1,1,1,1,1,1,1
07-09-2023,08:45,1,1,1,1,1,1,1,1
07-09-2023,08:40,1,1,1,1,1,1,1,1
07-09-2023,08:35,1,1,1,1,1,1,1,1
07-09-2023,08:30,1,1,1,1,1,1,1,1
07-09-2023,08:25,1,1,1,1,1,1,1,1
07-09-2023,08:20,1,1,1,1,1,1,1,1
07-09-2023,08:15,1,1,1,1,1,1,1,1
07-09-2023,08:10,1,1,1,1,1,1,1,1
07-09-2023,08:05,1,1,0,1,1,1,1,0
