2023-09-07,13:30,1,1,1,1,1,1,1,1
2023-09-07,13:00,1,1,1,1,1,1,1,1
2023-09-07,11:30,1,1,0,0,1,1,1,0
2023-09-07,11:00,1,1,1,0,1,1,1,0
2023-09-07,10:00,1,1,1,0,1,0,0,0
2023-09-07,09:00,1,1,1,1,1,1,1,1
2023-09-07,08:55,1,1,1,1,1,1,1,1
2023-09-07,08:50,1,1,1,1,1,1,1,1
2023-09-07,08:45,1,1,1,1,1,1,1,1
2023-09-07,08:40,1,1,1,1,1,1,1,1
2023-09-07,08:35,1,1,1,1,1,1,1,1
2023-09-07,08:30,1,1,1,1,1,1,1,1
2023-09-07,08:25,1,1,1,1,1,1,1,1
2023-09-07,08:20,1,1,1,1,1,1,1,1
2023-09-07,08:15,1,1,1,1,1,1,1,1
2023-09-07,08:10,1,1,1,1,1,1,1,1
2023-09-07,08:05,1,1,0,1,1,1,1,0
